	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
AT4G40045	45.8286747526625	0.472674842467088	0.46779286889012	1.01232546938688	0.311382460933214	0.493427928070031
AT4G40050	367.709713771208	-0.338606057121672	0.190696650558955	-1.77528876678826	0.0758502192373361	0.18066516624895
AT4G40060	938.617532344798	-0.172534418109748	0.369848884895283	-0.466465565529117	0.640882289863353	0.781583283191261
AT4G40080	168.889169163019	0.774024424218378	0.330883242165371	2.33927482496809	0.0193212147460446	0.0639275376468465
AT4G40090	46.8927297947275	-2.87678934239021	0.794991994645133	-3.54350092620983	0.000394851923687465	0.00281021972199761
AT4G38060	612.742661661625	1.18032855921993	0.505712878649888	2.33357536915385	0.01961796756812	0.0646776585176022
AT4G38050	24.0603697528248	-0.255506144129855	0.492069027057221	-0.518676845700932	0.603986110892173	0.754488083057983
AT4G38040	221.80620822762	-0.0476078933216399	0.206215100914733	-0.230864184939173	0.817420315428021	0.903318707830568
AT4G38030	53.3810825727347	6.51152504121301	0.965152781917111	5.78425736067268	7.28333653187455e-09	2.65317440645347e-07
AT4G38020	35.6767084728554	0.132145042529043	0.562436148831628	0.236019271253362	0.813417716263168	0.900768185733568
AT4G38000	1.89626409481884	0.137771337872371	1.36658517584345	0.0548279384701746	0.956275542193473	0.983377115187709
AT4G37980	652.471460580294	-2.99182801389477	0.3862116351361	-7.68855683874203	1.48803910083886e-14	2.08201470859037e-12
AT4G37970	37.6737016129735	-1.88820124104834	0.508034839850334	-3.70113551150091	0.000214636805073011	0.00169930251885076
AT4G37940	64.3399030250154	0.675444924513606	0.362157836480322	1.86468664112359	0.0622253403592379	0.156168016923052
AT4G37930	5187.92641796972	-1.99010114923036	0.401294727021082	-4.96270994796547	6.95163576185864e-07	1.36150329677378e-05
AT4G37920	133.573152174544	-0.462573499041176	0.26364805602705	-1.75757799430004	0.0788193403391707	0.186057566043474
AT4G37910	2243.67638060552	1.11145944561509	0.426812180069957	2.60326637095344	0.00923401789725871	0.0361933524075703
AT4G37880	358.26526623155	0.467376425989658	0.221661035385305	2.10855123064748	0.0349833362710562	0.101366055473821
AT4G37870	5216.87614170448	1.01466651318416	0.349549351761919	2.90246301088017	0.00370240879781547	0.0175783516932786
AT4G37860	0.610185068558102	0.572353165886136	1.03027230506655	0.292935100478929	0.769571758788743	0.871335263184729
AT4G37850	8.69684483757655	1.81895837346052	0.865089478330725	2.05909006171976	0.0394856117131918	0.111252442826993
AT4G37840	2.02677288752785	0.975281604387093	1.14133374568288	0.812612386487358	0.416440327627023	0.597239149114268
AT4G37770	51.8863403537849	3.60736629605449	0.581713023615931	6.08562344138075	1.16038879433208e-09	5.15021636888173e-08
AT4G37760	245.432510125243	-0.0844793585090122	0.680893871321228	-0.16136809876026	0.871803490862508	0.937486967845104
AT4G37750	272.829165155614	-1.52504679306676	0.564815374667648	-2.70182676687864	0.00689596812962563	0.0286141620728051
AT4G37740	70.9492709869434	-0.833978944021463	0.412960116695784	-2.01786259804538	0.0436055732907707	0.119772655131952
AT4G37730	106.246311413996	0.949999716177932	0.398145150141048	2.38527497339297	0.0170663597287959	0.0582191721150963
AT4G37680	205.358795027793	-0.0484023432161879	0.34562003851711	-0.139976859300932	0.888678273964704	0.947304573580407
AT4G37670	159.105734394929	1.40405084989315	0.294395610187862	4.7685433647802	1.85562732973508e-06	3.19102245371296e-05
AT4G37610	875.781939996187	1.75925896089804	0.736749924209078	2.37570737432185	0.0175153471645047	0.0593234818964309
